Fecha,Sucursal,Producto,Monto USD,Vendedor,Estado App,Fecha Registro en la App,estado_mora,Mensual
2025-01-01,Salto,Préstamo Hipotecario,252570.0,S1,Registrado,2025-01-04,En Mora,2025-01
2025-01-01,Maldonado,Préstamo Automotor,5104.0,A3,Registrado,2025-01-07,Cobrado,2025-01
2025-05-01,Lavalleja,Préstamo Consumo,2329.0,V2,Registrado,2025-05-07,Cobrado,2025-05
2025-07-01,Montevideo,Préstamo Consumo,3761.0,M2,No Registrado,,Incobrable,2025-07
2025-07-01,Maldonado,Préstamo Automotor,6623.0,A1,Registrado,2025-07-04,En Mora,2025-07
2025-01-02,Montevideo,Préstamo Hipotecario,117483.0,M2,Registrado,2025-01-09,En Mora,2025-01
2025-01-02,Rocha,Préstamo Consumo,658.0,H2,No Registrado,,Cobrado,2025-01
2025-05-02,Montevideo,Préstamo Consumo,1962.0,M1,No Registrado,,En Mora,2025-05
2025-06-02,Montevideo,Préstamo Hipotecario,244058.0,M2,Registrado,2025-06-09,Cobrado,2025-06
2025-06-02,Montevideo,Préstamo Consumo,3753.0,M2,Registrado,2025-06-08,Cobrado,2025-06
2025-06-02,Tacuarembó,Préstamo Automotor,14441.0,T3,Registrado,2025-06-03,En Mora,2025-06
2025-07-02,Canelones,Préstamo Hipotecario,241193.0,C1,Registrado,2025-07-05,En Mora,2025-07
2025-09-02,Canelones,Préstamo Automotor,17723.0,C2,Registrado,2025-09-03,Cobrado,2025-09
2025-03-03,Rivera,Préstamo Automotor,25135.0,R2,Registrado,2025-03-04,Cobrado,2025-03
2025-04-03,Rocha,Préstamo Hipotecario,11913.0,H2,Registrado,2025-04-04,Cobrado,2025-04
2025-06-03,Colonia,Préstamo Consumo,4704.0,O3,No Registrado,,Incobrable,2025-06
2025-09-03,Canelones,Préstamo Consumo,4390.0,C2,No Registrado,,En Mora,2025-09
2025-09-03,Río Negro,Préstamo Consumo,569.0,N2,No Registrado,,Cobrado,2025-09
2025-10-03,San José,Préstamo Consumo,2045.0,J1,Registrado,2025-10-09,Incobrable,2025-10
2025-11-03,Río Negro,Préstamo Consumo,586.0,N1,Registrado,2025-11-10,En Mora,2025-11
2025-11-03,Colonia,Préstamo Automotor,6526.0,O2,Registrado,2025-11-08,Incobrable,2025-11
2025-11-03,Rocha,Préstamo Automotor,8091.0,H1,Registrado,2025-11-08,En Mora,2025-11
2025-12-03,Canelones,Préstamo Hipotecario,56581.0,C1,Registrado,2025-12-05,Incobrable,2025-12
2025-12-03,Treinta y Tres,Préstamo Consumo,3416.0,Y1,Registrado,2025-12-10,Cobrado,2025-12
2025-12-03,Canelones,Préstamo Automotor,14340.0,C1,Registrado,2025-12-10,Cobrado,2025-12
2025-02-04,Río Negro,Préstamo Consumo,3137.0,N1,No Registrado,,Cobrado,2025-02
2025-03-04,Salto,Préstamo Consumo,1196.0,S1,No Registrado,,Cobrado,2025-03
2025-04-04,Tacuarembó,Préstamo Consumo,3014.0,T3,Registrado,2025-04-06,En Mora,2025-04
2025-06-04,Canelones,Préstamo Consumo,2957.0,C1,Registrado,2025-06-11,Incobrable,2025-06
2025-08-04,Montevideo,Préstamo Consumo,857.0,M1,No Registrado,,Cobrado,2025-08
2025-08-04,Cerro Largo,Préstamo Consumo,2575.0,E3,No Registrado,,Cobrado,2025-08
2025-09-04,Canelones,Préstamo Consumo,1074.0,C2,No Registrado,,Cobrado,2025-09
2025-11-04,Montevideo,Préstamo Hipotecario,6315.0,M3,Registrado,2025-11-05,Incobrable,2025-11
2025-12-04,Montevideo,Préstamo Consumo,1027.0,M3,Registrado,2025-12-11,Incobrable,2025-12
2025-03-05,Tacuarembó,Préstamo Consumo,1799.0,T2,Registrado,2025-03-06,Incobrable,2025-03
2025-08-05,Canelones,Préstamo Automotor,8556.0,C3,No Registrado,,En Mora,2025-08
2025-08-05,Cerro Largo,Préstamo Consumo,2853.0,E2,No Registrado,,Cobrado,2025-08
2025-12-05,Montevideo,Préstamo Automotor,10290.0,M2,Registrado,2025-12-10,En Mora,2025-12
2025-01-06,Treinta y Tres,Préstamo Hipotecario,118417.0,Y3,Registrado,2025-01-11,Cobrado,2025-01
2025-05-06,Lavalleja,Préstamo Consumo,1585.0,V1,No Registrado,,Cobrado,2025-05
2025-06-06,Rivera,Préstamo Consumo,2104.0,R3,No Registrado,,Cobrado,2025-06
